1  0.000  0.000  0.000  0.000
2  0.000  0.000  0.000  0.000
3  0.000  0.000  0.000  0.000
4  0.000  0.000  0.000  0.000
5  0.000  0.000  0.000  0.000
6  0.000  0.000  0.000  0.000
7  0.000  0.000  0.000  0.000
8  0.000  0.000  0.000  0.000
9  0.000  0.000  0.000  0.000
10  1.000  0.000  0.000  0.000
11  1.000  0.000  1.000  0.000
12  1.000  0.000  1.000  0.000
13  1.000  0.000  1.000  0.000
14  1.000  0.000  1.000  0.000
15  1.000  0.000  1.000  0.000
16  1.000  0.000  1.000  0.000
17  1.000  0.000  1.000  0.000
18  1.000  0.000  1.000  0.000
19  1.000  0.000  1.000  0.000
20  1.000  0.000  1.000  0.000
21  1.000  0.000  1.000  0.000
22  1.000  0.000  1.000  0.000
23  1.000  0.000  1.000  0.000
24  1.000  0.000  1.000  0.000
25  1.000  0.000  1.000  0.000
26  1.000  0.000  1.000  0.000
27  1.000  0.000  1.000  0.000
28  1.000  0.000  1.000  0.000
29  1.000  0.000  1.000  0.000
30  1.000  0.000  1.000  0.000
31  1.000  0.000  1.000  0.000
32  1.000  0.000  1.000  0.000
33  1.000  0.000  1.000  0.000
34  1.000  0.000  1.000  0.000
35  1.000  0.000  1.000  0.000
36  1.000  0.000  1.000  0.000
37  1.000  0.000  1.000  0.000
38  1.000  0.000  1.000  0.000
39  1.000  0.000  1.000  0.000
40  1.000  0.000  1.000  0.000
41  1.000  0.000  1.000  0.000
42  1.000  0.000  1.000  0.000
43  1.000  0.000  1.000  0.000
44  1.000  0.000  1.000  0.000
45  1.000  0.000  1.000  0.000
46  1.000  0.000  1.000  0.000
47  1.000  0.000  1.000  0.000
48  1.000  0.000  1.000  0.000
49  1.000  0.000  1.000  0.000
